experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp2_scaling,synthetic,fp_reduce,1,warmup,2,0,0.148892,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:50Z
exp2_scaling,synthetic,fp_sum_genexpr,1,warmup,0,1,0.077299,831537362.1859643,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:50Z
exp2_scaling,synthetic,queue_agg,1,warmup,1,2,0.072057,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:50Z
exp2_scaling,synthetic,no_lock,1,warmup,2,3,0.087180,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:50Z
exp2_scaling,synthetic,imp_threadlocal,1,warmup,0,4,0.071691,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:50Z
exp2_scaling,synthetic,fp_sum_genexpr,1,warmup,1,5,0.075896,831537362.1859643,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:50Z
exp2_scaling,synthetic,fp_sum_genexpr,1,warmup,2,6,0.075804,831537362.1859643,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,no_lock,1,warmup,1,7,0.086145,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,coarse_lock,1,warmup,1,8,0.071823,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,fp_reduce,1,warmup,0,9,0.071765,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,fine_lock,1,warmup,1,10,0.138581,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,fine_lock,1,warmup,2,11,0.138942,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,batched_lock,1,warmup,2,12,0.082503,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,coarse_lock,1,warmup,2,13,0.072490,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,imp_threadlocal,1,warmup,1,14,0.071111,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,no_lock,1,warmup,0,15,0.086014,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:51Z
exp2_scaling,synthetic,fine_lock,1,warmup,0,16,0.139960,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,batched_lock,1,warmup,0,17,0.082987,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,fp_reduce,1,warmup,1,18,0.074017,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,queue_agg,1,warmup,2,19,0.071517,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,coarse_lock,1,warmup,0,20,0.071480,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,batched_lock,1,warmup,1,21,0.082788,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,queue_agg,1,warmup,0,22,0.071408,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,imp_threadlocal,1,warmup,2,23,0.072120,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,fine_lock,1,measured,4,24,0.139155,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,no_lock,1,measured,18,25,0.087006,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,queue_agg,1,measured,7,26,0.071792,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,no_lock,1,measured,8,27,0.086125,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:52Z
exp2_scaling,synthetic,imp_threadlocal,1,measured,4,28,0.071220,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,coarse_lock,1,measured,5,29,0.071643,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,fp_reduce,1,measured,26,30,0.071533,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,fine_lock,1,measured,16,31,0.139136,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,queue_agg,1,measured,13,32,0.071955,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,batched_lock,1,measured,22,33,0.082406,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,batched_lock,1,measured,27,34,0.082824,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,imp_threadlocal,1,measured,2,35,0.072325,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,fp_reduce,1,measured,21,36,0.072021,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,imp_threadlocal,1,measured,5,37,0.071647,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,queue_agg,1,measured,5,38,0.071834,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,no_lock,1,measured,23,39,0.086108,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,imp_threadlocal,1,measured,29,40,0.071184,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:53Z
exp2_scaling,synthetic,batched_lock,1,measured,25,41,0.082712,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T06:28:54Z
exp2_scaling,synthetic,fine_lock,1,measured,9,42,0.140447,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T06:28:54Z
exp2_scaling,synthetic,batched_lock,1,measured,0,43,0.082419,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T06:28:54Z
exp2_scaling,synthetic,queue_agg,1,measured,18,44,0.071269,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T06:28:54Z
