experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp3_writer,chained,lock,1,warmup,2,0,0.110144,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:11Z
exp3_writer,chained,record,1,warmup,1,1,0.097201,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:11Z
exp3_writer,chained,indexed,1,warmup,2,2,0.096759,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:11Z
exp3_writer,chained,writer,1,warmup,0,3,0.107686,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:11Z
exp3_writer,chained,writer,1,warmup,1,4,0.109244,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:11Z
exp3_writer,chained,indexed,1,warmup,0,5,0.098000,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:11Z
exp3_writer,chained,record,1,warmup,0,6,0.101008,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:11Z
exp3_writer,chained,writer,1,warmup,2,7,0.112560,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:11Z
exp3_writer,chained,lock,1,warmup,0,8,0.097582,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:11Z
exp3_writer,chained,lock,1,warmup,1,9,0.096891,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:12Z
exp3_writer,chained,indexed,1,warmup,1,10,0.096919,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,record,1,warmup,2,11,0.096866,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,writer,1,measured,21,12,0.096613,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,record,1,measured,12,13,0.096952,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,lock,1,measured,2,14,0.095999,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:12Z
exp3_writer,chained,indexed,1,measured,29,15,0.097797,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,record,1,measured,8,16,0.096805,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,record,1,measured,24,17,0.096600,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,writer,1,measured,10,18,0.097293,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:12Z
exp3_writer,chained,lock,1,measured,21,19,0.097948,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:13Z
exp3_writer,chained,record,1,measured,7,20,0.107062,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:13Z
exp3_writer,chained,lock,1,measured,29,21,0.107192,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:13Z
exp3_writer,chained,record,1,measured,6,22,0.107158,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:13Z
exp3_writer,chained,indexed,1,measured,18,23,0.106995,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:13Z
exp3_writer,chained,indexed,1,measured,8,24,0.097020,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:13Z
exp3_writer,chained,lock,1,measured,19,25,0.096658,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:13Z
exp3_writer,chained,indexed,1,measured,26,26,0.097035,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:13Z
exp3_writer,chained,writer,1,measured,5,27,0.097010,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:13Z
exp3_writer,chained,record,1,measured,4,28,0.097063,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:13Z
exp3_writer,chained,lock,1,measured,14,29,0.096627,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:44:14Z
exp3_writer,chained,writer,1,measured,12,30,0.096988,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:14Z
exp3_writer,chained,indexed,1,measured,3,31,0.106761,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:44:14Z
