experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp3_writer,single,writer,1,warmup,1,0,0.208317,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,record,1,warmup,0,1,0.105263,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,lock,1,warmup,1,2,0.092397,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:38Z
exp3_writer,single,indexed,1,warmup,0,3,0.091944,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,indexed,1,warmup,2,4,0.093205,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,indexed,1,warmup,1,5,0.092273,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,record,1,warmup,2,6,0.092865,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,writer,1,warmup,0,7,0.093635,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,writer,1,warmup,2,8,0.092130,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,record,1,warmup,1,9,0.092181,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:38Z
exp3_writer,single,lock,1,warmup,2,10,0.093572,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:38Z
exp3_writer,single,lock,1,warmup,0,11,0.092122,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:39Z
exp3_writer,single,lock,1,measured,7,12,0.093891,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:39Z
exp3_writer,single,indexed,1,measured,13,13,0.092140,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:39Z
exp3_writer,single,writer,1,measured,18,14,0.092709,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:39Z
exp3_writer,single,writer,1,measured,1,15,0.094604,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:39Z
exp3_writer,single,writer,1,measured,8,16,0.091880,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:39Z
exp3_writer,single,writer,1,measured,4,17,0.092365,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:39Z
exp3_writer,single,record,1,measured,21,18,0.093808,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:39Z
exp3_writer,single,lock,1,measured,16,19,0.092302,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:39Z
exp3_writer,single,indexed,1,measured,15,20,0.093374,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:39Z
exp3_writer,single,lock,1,measured,26,21,0.094786,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:39Z
exp3_writer,single,writer,1,measured,13,22,0.092025,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:40Z
exp3_writer,single,record,1,measured,28,23,0.093899,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:40Z
exp3_writer,single,writer,1,measured,29,24,0.095181,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:40Z
exp3_writer,single,lock,1,measured,20,25,0.092916,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:40Z
exp3_writer,single,lock,1,measured,25,26,0.092789,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:40Z
exp3_writer,single,writer,1,measured,11,27,0.093378,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:40Z
exp3_writer,single,writer,1,measured,21,28,0.092751,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:40Z
exp3_writer,single,writer,1,measured,3,29,0.092509,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:40Z
exp3_writer,single,indexed,1,measured,10,30,0.093788,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:40Z
exp3_writer,single,lock,1,measured,27,31,0.092588,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T06:42:40Z
exp3_writer,single,writer,1,measured,0,32,0.094064,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T06:42:41Z
