experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp1_race,counter,fp_fold,1,warmup,1,0,0.005369,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,warmup,0,1,0.015377,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,warmup,2,2,0.005193,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,warmup,1,3,0.004230,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,warmup,1,4,0.015305,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,warmup,0,5,0.002640,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,warmup,2,6,0.015330,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,warmup,0,7,0.002733,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,warmup,0,8,0.005142,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,warmup,2,9,0.004159,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,warmup,0,10,0.004190,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,warmup,2,11,0.002655,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,warmup,2,12,0.002705,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,warmup,1,13,0.002658,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,warmup,1,14,0.002709,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,13,15,0.004123,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,29,16,0.015337,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,20,17,0.002657,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,6,18,0.002650,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,28,19,0.015356,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,18,20,0.005132,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,25,21,0.004187,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,26,22,0.002678,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,measured,25,23,0.002653,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,3,24,0.002659,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,17,25,0.015602,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,9,26,0.004120,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,1,27,0.004130,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,9,28,0.015268,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,16,29,0.004138,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,6,30,0.015231,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,21,31,0.004158,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,14,32,0.005164,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,29,33,0.002630,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,15,34,0.015262,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,1,35,0.002661,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,measured,24,36,0.002592,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,7,37,0.004093,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,measured,14,38,0.002579,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,26,39,0.005156,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,23,40,0.005047,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,measured,1,41,0.002580,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,24,42,0.002586,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,13,43,0.015217,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,measured,26,44,0.002611,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,17,45,0.002697,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,23,46,0.004143,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,measured,6,47,0.002683,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,17,48,0.004995,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_locked,1,measured,11,49,0.015258,100000,100000,0.000000,"{""lock_acquisitions"": 100000}",2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,5,50,0.002615,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,23,51,0.002631,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,15,52,0.004952,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_threadlocal,1,measured,8,53,0.002596,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,9,54,0.005098,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,3,55,0.005007,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,disjoint_slot,1,measured,15,56,0.002596,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,fp_fold,1,measured,19,57,0.005155,100000,100000,0.000000,,2026-08-12T05:32:42Z
exp1_race,counter,imp_racy,1,measured,3,58,0.004130,100000,100000,0.000000,,2026-08-12T05:32:42Z
