experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp2_scaling,montecarlo,no_lock,1,warmup,1,0,0.247472,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:15Z
exp2_scaling,montecarlo,no_lock,1,warmup,2,1,0.139179,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:15Z
exp2_scaling,montecarlo,fine_lock,1,warmup,0,2,0.206100,392695,392695,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:45:15Z
exp2_scaling,montecarlo,imp_threadlocal,1,warmup,0,3,0.109343,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:15Z
exp2_scaling,montecarlo,coarse_lock,1,warmup,1,4,0.109424,392695,392695,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T05:45:15Z
exp2_scaling,montecarlo,no_lock,1,warmup,0,5,0.139440,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:15Z
exp2_scaling,montecarlo,fp_reduce,1,warmup,2,6,0.109335,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:16Z
exp2_scaling,montecarlo,imp_threadlocal,1,warmup,2,7,0.109589,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:16Z
exp2_scaling,montecarlo,imp_threadlocal,1,warmup,1,8,0.109381,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:16Z
exp2_scaling,montecarlo,fp_reduce,1,warmup,0,9,0.109457,392695,392695,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:45:16Z
exp2_scaling,montecarlo,fine_lock,1,warmup,1,10,0.206110,392695,392695,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:45:16Z
exp2_scaling,montecarlo,fine_lock,1,warmup,2,11,0.206107,392695,392695,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:45:16Z
exp2_scaling,montecarlo,coarse_lock,1,warmup,0,12,0.109378,392695,392695,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T05:45:16Z
