experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp2_scaling,synthetic,fp_reduce,1,warmup,2,0,0.147820,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:03Z
exp2_scaling,synthetic,fp_sum_genexpr,1,warmup,0,1,0.079194,831537362.1859643,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,queue_agg,1,warmup,1,2,0.071246,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,no_lock,1,warmup,2,3,0.091419,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,imp_threadlocal,1,warmup,0,4,0.072997,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,fp_sum_genexpr,1,warmup,1,5,0.077654,831537362.1859643,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,fp_sum_genexpr,1,warmup,2,6,0.077766,831537362.1859643,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,no_lock,1,warmup,1,7,0.093047,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,coarse_lock,1,warmup,1,8,0.073291,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,fp_reduce,1,warmup,0,9,0.072799,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,fine_lock,1,warmup,1,10,0.158450,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,fine_lock,1,warmup,2,11,0.157447,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:38:04Z
exp2_scaling,synthetic,batched_lock,1,warmup,2,12,0.083280,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,coarse_lock,1,warmup,2,13,0.073000,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,imp_threadlocal,1,warmup,1,14,0.073052,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,no_lock,1,warmup,0,15,0.093123,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,fine_lock,1,warmup,0,16,0.157373,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,batched_lock,1,warmup,0,17,0.083339,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,fp_reduce,1,warmup,1,18,0.072920,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,queue_agg,1,warmup,2,19,0.072183,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,coarse_lock,1,warmup,0,20,0.072822,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,batched_lock,1,warmup,1,21,0.083408,831537362.1859645,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,queue_agg,1,warmup,0,22,0.071370,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,imp_threadlocal,1,warmup,2,23,0.072600,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:05Z
exp2_scaling,synthetic,fine_lock,1,measured,4,24,0.158043,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:38:06Z
exp2_scaling,synthetic,no_lock,1,measured,18,25,0.092831,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:06Z
exp2_scaling,synthetic,queue_agg,1,measured,7,26,0.071375,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:06Z
exp2_scaling,synthetic,no_lock,1,measured,8,27,0.090874,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:06Z
exp2_scaling,synthetic,imp_threadlocal,1,measured,4,28,0.072959,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:06Z
exp2_scaling,synthetic,coarse_lock,1,measured,5,29,0.072493,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 1}",2026-08-12T05:38:06Z
exp2_scaling,synthetic,fp_reduce,1,measured,26,30,0.072960,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 0}",2026-08-12T05:38:06Z
exp2_scaling,synthetic,fine_lock,1,measured,16,31,0.157408,831537362.185985,831537362.1859643,0.000000,"{""user_lock_acquisitions"": 500000}",2026-08-12T05:38:06Z
