experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp3_writer,chained,lock,1,warmup,2,0,0.107111,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:53:57Z
exp3_writer,chained,record,1,warmup,1,1,0.104078,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:57Z
exp3_writer,chained,indexed,1,warmup,2,2,0.094696,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:57Z
exp3_writer,chained,writer,1,warmup,0,3,0.095786,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:57Z
exp3_writer,chained,writer,1,warmup,1,4,0.096800,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:57Z
exp3_writer,chained,indexed,1,warmup,0,5,0.096564,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:57Z
exp3_writer,chained,record,1,warmup,0,6,0.096388,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:57Z
exp3_writer,chained,writer,1,warmup,2,7,0.096894,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:57Z
exp3_writer,chained,lock,1,warmup,0,8,0.097407,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:53:58Z
exp3_writer,chained,lock,1,warmup,1,9,0.096946,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:53:58Z
exp3_writer,chained,indexed,1,warmup,1,10,0.095799,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,record,1,warmup,2,11,0.097057,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,writer,1,measured,21,12,0.096058,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,record,1,measured,12,13,0.095995,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,lock,1,measured,2,14,0.095513,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:53:58Z
exp3_writer,chained,indexed,1,measured,29,15,0.096847,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,record,1,measured,8,16,0.098436,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,record,1,measured,24,17,0.098098,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,writer,1,measured,10,18,0.097592,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:58Z
exp3_writer,chained,lock,1,measured,21,19,0.103806,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:53:59Z
exp3_writer,chained,record,1,measured,7,20,0.098753,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:59Z
exp3_writer,chained,lock,1,measured,29,21,0.101022,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:53:59Z
exp3_writer,chained,record,1,measured,6,22,0.100194,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:59Z
exp3_writer,chained,indexed,1,measured,18,23,0.100198,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:59Z
exp3_writer,chained,indexed,1,measured,8,24,0.100141,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:59Z
exp3_writer,chained,lock,1,measured,19,25,0.100392,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:53:59Z
exp3_writer,chained,indexed,1,measured,26,26,0.100762,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:59Z
exp3_writer,chained,writer,1,measured,5,27,0.098198,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:59Z
exp3_writer,chained,record,1,measured,4,28,0.104710,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:53:59Z
exp3_writer,chained,lock,1,measured,14,29,0.098426,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:00Z
exp3_writer,chained,writer,1,measured,12,30,0.098501,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:00Z
exp3_writer,chained,indexed,1,measured,3,31,0.098343,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:00Z
exp3_writer,chained,record,1,measured,16,32,0.098544,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:00Z
exp3_writer,chained,lock,1,measured,22,33,0.097442,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:00Z
exp3_writer,chained,record,1,measured,10,34,0.097564,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:00Z
exp3_writer,chained,writer,1,measured,29,35,0.098268,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:00Z
exp3_writer,chained,lock,1,measured,27,36,0.102996,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:00Z
exp3_writer,chained,record,1,measured,3,37,0.097373,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:00Z
exp3_writer,chained,record,1,measured,22,38,0.097388,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:00Z
exp3_writer,chained,writer,1,measured,22,39,0.096421,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,indexed,1,measured,12,40,0.097045,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,indexed,1,measured,22,41,0.097196,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,writer,1,measured,3,42,0.097022,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,lock,1,measured,6,43,0.098280,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:01Z
exp3_writer,chained,lock,1,measured,7,44,0.096376,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:01Z
exp3_writer,chained,indexed,1,measured,6,45,0.096321,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,record,1,measured,14,46,0.096406,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,record,1,measured,13,47,0.095841,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,indexed,1,measured,25,48,0.097383,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:01Z
exp3_writer,chained,lock,1,measured,26,49,0.097843,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:02Z
exp3_writer,chained,record,1,measured,9,50,0.097116,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:02Z
exp3_writer,chained,lock,1,measured,9,51,0.096885,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:02Z
exp3_writer,chained,record,1,measured,29,52,0.096688,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:02Z
exp3_writer,chained,lock,1,measured,23,53,0.098124,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:02Z
exp3_writer,chained,record,1,measured,2,54,0.098356,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:02Z
exp3_writer,chained,writer,1,measured,27,55,0.096165,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:02Z
exp3_writer,chained,indexed,1,measured,15,56,0.096085,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:02Z
exp3_writer,chained,record,1,measured,19,57,0.098654,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:02Z
exp3_writer,chained,lock,1,measured,4,58,0.097491,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:02Z
exp3_writer,chained,indexed,1,measured,27,59,0.095922,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,lock,1,measured,20,60,0.096678,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:03Z
exp3_writer,chained,record,1,measured,18,61,0.098476,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,indexed,1,measured,20,62,0.097438,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,lock,1,measured,25,63,0.097290,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:03Z
exp3_writer,chained,lock,1,measured,17,64,0.097970,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:03Z
exp3_writer,chained,indexed,1,measured,13,65,0.098066,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,indexed,1,measured,7,66,0.097957,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,record,1,measured,20,67,0.097684,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,indexed,1,measured,11,68,0.095705,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,indexed,1,measured,10,69,0.093144,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:03Z
exp3_writer,chained,indexed,1,measured,23,70,0.094789,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,lock,1,measured,12,71,0.096516,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:04Z
exp3_writer,chained,writer,1,measured,26,72,0.096204,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,indexed,1,measured,24,73,0.097228,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,indexed,1,measured,4,74,0.098947,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,indexed,1,measured,2,75,0.096769,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,indexed,1,measured,28,76,0.098159,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,writer,1,measured,7,77,0.095268,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,record,1,measured,0,78,0.103917,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:04Z
exp3_writer,chained,lock,1,measured,24,79,0.095410,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:04Z
exp3_writer,chained,writer,1,measured,16,80,0.096726,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,record,1,measured,26,81,0.101890,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,lock,1,measured,8,82,0.104503,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:05Z
exp3_writer,chained,indexed,1,measured,5,83,0.097321,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,record,1,measured,21,84,0.096558,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,lock,1,measured,18,85,0.097843,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:05Z
exp3_writer,chained,indexed,1,measured,17,86,0.097984,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,writer,1,measured,13,87,0.098046,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,writer,1,measured,20,88,0.104762,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,writer,1,measured,1,89,0.095426,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:05Z
exp3_writer,chained,record,1,measured,25,90,0.094930,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,lock,1,measured,1,91,0.096055,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:06Z
exp3_writer,chained,indexed,1,measured,9,92,0.095585,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,record,1,measured,15,93,0.094681,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,record,1,measured,28,94,0.095169,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,indexed,1,measured,0,95,0.095114,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,record,1,measured,11,96,0.095324,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,lock,1,measured,13,97,0.095753,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:06Z
exp3_writer,chained,writer,1,measured,19,98,0.094826,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,writer,1,measured,9,99,0.103694,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:06Z
exp3_writer,chained,writer,1,measured,11,100,0.097032,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:07Z
exp3_writer,chained,writer,1,measured,28,101,0.103990,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:07Z
exp3_writer,chained,lock,1,measured,28,102,0.102299,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:07Z
exp3_writer,chained,record,1,measured,5,103,0.094033,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:07Z
exp3_writer,chained,writer,1,measured,0,104,0.096318,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:07Z
exp3_writer,chained,writer,1,measured,24,105,0.094155,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:07Z
exp3_writer,chained,indexed,1,measured,1,106,0.096386,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:07Z
exp3_writer,chained,lock,1,measured,3,107,0.102954,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:07Z
exp3_writer,chained,writer,1,measured,25,108,0.096241,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:07Z
exp3_writer,chained,lock,1,measured,5,109,0.102662,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:07Z
exp3_writer,chained,writer,1,measured,4,110,0.103359,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:08Z
exp3_writer,chained,lock,1,measured,15,111,0.103549,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:08Z
exp3_writer,chained,writer,1,measured,23,112,0.094576,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:08Z
exp3_writer,chained,lock,1,measured,11,113,0.103792,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:08Z
exp3_writer,chained,record,1,measured,23,114,0.103409,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:08Z
exp3_writer,chained,record,1,measured,1,115,0.099355,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:08Z
exp3_writer,chained,writer,1,measured,2,116,0.096421,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:08Z
exp3_writer,chained,writer,1,measured,18,117,0.098936,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:08Z
exp3_writer,chained,lock,1,measured,10,118,0.096392,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:54:08Z
exp3_writer,chained,indexed,1,measured,21,119,0.106361,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:08Z
exp3_writer,chained,writer,1,measured,6,120,0.102943,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:09Z
exp3_writer,chained,indexed,1,measured,14,121,0.094275,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:09Z
exp3_writer,chained,indexed,1,measured,19,122,0.093599,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:09Z
exp3_writer,chained,writer,1,measured,15,123,0.094872,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:09Z
exp3_writer,chained,record,1,measured,17,124,0.102253,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:09Z
exp3_writer,chained,writer,1,measured,17,125,0.096015,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:09Z
exp3_writer,chained,record,1,measured,27,126,0.095082,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 2, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:54:09Z
