experiment,workload,condition,n_threads,phase,rep,order_idx,wall_s,result,expected,error_pct,aux,timestamp_utc
exp3_writer,single,writer,1,warmup,1,0,0.202492,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:14Z
exp3_writer,single,record,1,warmup,0,1,0.103093,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:14Z
exp3_writer,single,lock,1,warmup,1,2,0.094426,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:14Z
exp3_writer,single,indexed,1,warmup,0,3,0.094668,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:14Z
exp3_writer,single,indexed,1,warmup,2,4,0.095289,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:14Z
exp3_writer,single,indexed,1,warmup,1,5,0.094417,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:15Z
exp3_writer,single,record,1,warmup,2,6,0.094565,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:15Z
exp3_writer,single,writer,1,warmup,0,7,0.095672,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:15Z
exp3_writer,single,writer,1,warmup,2,8,0.094460,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:15Z
exp3_writer,single,record,1,warmup,1,9,0.094626,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:15Z
exp3_writer,single,lock,1,warmup,2,10,0.094552,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:15Z
exp3_writer,single,lock,1,warmup,0,11,0.093384,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:15Z
exp3_writer,single,lock,1,measured,7,12,0.095342,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:15Z
exp3_writer,single,indexed,1,measured,13,13,0.094286,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:15Z
exp3_writer,single,writer,1,measured,18,14,0.094875,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:15Z
exp3_writer,single,writer,1,measured,1,15,0.095073,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,writer,1,measured,8,16,0.094080,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,writer,1,measured,4,17,0.093765,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,record,1,measured,21,18,0.095703,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,lock,1,measured,16,19,0.093596,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:16Z
exp3_writer,single,indexed,1,measured,15,20,0.093701,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,lock,1,measured,26,21,0.096094,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:16Z
exp3_writer,single,writer,1,measured,13,22,0.092976,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,record,1,measured,28,23,0.093146,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,writer,1,measured,29,24,0.093885,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:16Z
exp3_writer,single,lock,1,measured,20,25,0.092371,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:16Z
exp3_writer,single,lock,1,measured,25,26,0.093157,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:17Z
exp3_writer,single,writer,1,measured,11,27,0.094266,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:17Z
exp3_writer,single,writer,1,measured,21,28,0.093881,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:17Z
exp3_writer,single,writer,1,measured,3,29,0.093625,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:17Z
exp3_writer,single,indexed,1,measured,10,30,0.095255,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:17Z
exp3_writer,single,lock,1,measured,27,31,0.095543,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:17Z
exp3_writer,single,writer,1,measured,0,32,0.093168,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:17Z
exp3_writer,single,lock,1,measured,9,33,0.094581,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:17Z
exp3_writer,single,indexed,1,measured,21,34,0.095420,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:17Z
exp3_writer,single,record,1,measured,2,35,0.094694,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:17Z
exp3_writer,single,indexed,1,measured,28,36,0.096989,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,lock,1,measured,17,37,0.095167,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:18Z
exp3_writer,single,lock,1,measured,5,38,0.093601,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:18Z
exp3_writer,single,writer,1,measured,22,39,0.092177,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,record,1,measured,5,40,0.092909,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,lock,1,measured,18,41,0.093706,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:18Z
exp3_writer,single,indexed,1,measured,9,42,0.094741,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,record,1,measured,0,43,0.093752,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,indexed,1,measured,11,44,0.093851,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,indexed,1,measured,19,45,0.093471,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,writer,1,measured,27,46,0.094176,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:18Z
exp3_writer,single,writer,1,measured,23,47,0.092351,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,writer,1,measured,14,48,0.091619,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,record,1,measured,13,49,0.093956,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,lock,1,measured,8,50,0.092488,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:19Z
exp3_writer,single,lock,1,measured,21,51,0.093044,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:19Z
exp3_writer,single,writer,1,measured,7,52,0.093775,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,indexed,1,measured,2,53,0.092845,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,indexed,1,measured,7,54,0.093029,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,record,1,measured,6,55,0.092862,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,lock,1,measured,2,56,0.092706,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:19Z
exp3_writer,single,record,1,measured,19,57,0.093646,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:19Z
exp3_writer,single,record,1,measured,9,58,0.090850,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,writer,1,measured,15,59,0.092172,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,record,1,measured,26,60,0.093221,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,record,1,measured,7,61,0.093450,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,lock,1,measured,14,62,0.093236,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:20Z
exp3_writer,single,lock,1,measured,29,63,0.093713,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:20Z
exp3_writer,single,lock,1,measured,12,64,0.093475,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:20Z
exp3_writer,single,indexed,1,measured,1,65,0.095010,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,indexed,1,measured,0,66,0.094792,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,record,1,measured,25,67,0.093351,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,indexed,1,measured,5,68,0.093041,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:20Z
exp3_writer,single,record,1,measured,4,69,0.094744,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:21Z
exp3_writer,single,writer,1,measured,9,70,0.093291,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:21Z
exp3_writer,single,record,1,measured,14,71,0.093383,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:21Z
exp3_writer,single,lock,1,measured,6,72,0.093419,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 1}",2026-08-12T05:52:21Z
exp3_writer,single,indexed,1,measured,26,73,0.093574,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:21Z
exp3_writer,single,writer,1,measured,5,74,0.091571,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:21Z
exp3_writer,single,record,1,measured,15,75,0.093512,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:21Z
exp3_writer,single,record,1,measured,12,76,0.093345,831537362.1859643,,,"{""sum_rel_diff"": 0.0, ""log_entries"": 1, ""n_results"": 1, ""user_lock_acquisitions"": 0}",2026-08-12T05:52:21Z
